City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,bastia,42.6667,9.3333,11.28,81,100,1.03,FR,1676578550
231,pocatello,42.8713,-112.4455,-3.44,65,0,7.6,US,1676578551
232,mangrol,21.1167,70.1167,24.22,43,0,3.19,IN,1676578551
233,goderich,43.7501,-81.7165,-1.72,86,100,5.14,CA,1676578551
234,leningradskiy,69.3833,178.4167,-35.57,98,100,2.7,RU,1676578551
235,saint-philippe,-21.3585,55.7679,22.77,78,22,2.14,RE,1676578551
236,oxford,51.7522,-1.256,10.42,91,75,6.17,GB,1676578305
237,nador,35.174,-2.9287,15.14,82,75,5.66,MA,1676578523
238,santa lucia,27.9117,-15.5407,11.54,72,20,4.12,ES,1676578551
239,coquimbo,-29.9533,-71.3436,21.85,64,40,5.14,CL,1676578319
240,airai,-8.9266,125.4092,16.07,90,100,0.72,TL,1676578551
241,luanda,-8.8368,13.2343,28.0,82,40,2.57,AO,1676578526
242,port hueneme,34.1478,-119.1951,17.66,17,0,8.23,US,1676578552
243,dapaong,10.8639,0.205,26.51,12,3,3.27,TG,1676578316
244,hofn,64.2539,-15.2082,-0.21,52,100,5.18,IS,1676578552
245,tocopilla,-22.092,-70.1979,23.65,74,3,1.37,CL,1676578552
246,hanna,51.6334,-111.9018,-4.52,81,100,3.13,CA,1676578552
247,pouembout,-21.1333,164.9,22.47,76,1,2.58,NC,1676578552
248,fondi,41.3541,13.4313,11.27,88,96,1.31,IT,1676578552
249,jumla,29.2747,82.1838,5.81,54,0,1.27,NP,1676578553
250,bairiki,1.3292,172.9752,27.0,89,40,3.6,KI,1676578553
251,ullapool,57.8987,-5.1604,5.75,98,100,2.51,GB,1676578419
252,baiyin,36.5583,104.2081,-3.94,92,59,0.91,CN,1676578553
253,ponta do sol,32.6667,-17.1,18.17,63,52,3.43,PT,1676578553
254,palmer,42.1584,-72.3287,16.77,49,100,0.45,US,1676578553
255,grand-santi,4.25,-54.3833,25.48,96,80,1.52,GF,1676578553
256,entebbe,0.0644,32.4469,24.29,63,83,1.71,UG,1676578553
257,launceston,-41.45,147.1667,15.64,89,49,2.06,AU,1676578553
258,san calixto,8.4021,-73.2074,18.14,85,99,1.71,CO,1676578554
259,port lincoln,-34.7333,135.8667,16.66,88,27,5.5,AU,1676578554
260,narsaq,60.9167,-46.05,-7.88,94,71,2.68,GL,1676578554
261,lavrentiya,65.5833,-171.0,-28.07,88,100,3.36,RU,1676578554
262,ulaanbaatar,47.9077,106.8832,-27.93,76,40,1.0,MN,1676578554
263,pangai,-19.8,-174.35,27.06,78,75,4.12,TO,1676578554
264,saldanha,-33.0117,17.9442,20.3,76,11,6.58,ZA,1676578554
265,chokurdakh,70.6333,147.9167,-39.17,100,89,2.07,RU,1676578554
266,nakasongola,1.3089,32.4564,25.09,30,83,0.71,UG,1676578554
267,cabo san lucas,22.8909,-109.9124,22.81,57,100,3.09,MX,1676578555
268,tuatapere,-46.1333,167.6833,13.06,84,100,1.35,NZ,1676578555
269,sakakah,29.9697,40.2064,10.76,45,5,2.75,SA,1676578555
270,bilibino,68.0546,166.4372,-40.45,99,53,1.18,RU,1676578555
271,maloy,61.9353,5.1136,4.85,69,100,12.12,NO,1676578555
272,rudarpur,26.4394,83.6144,15.59,55,0,2.12,IN,1676578555
273,bodri,23.1667,81.4333,14.04,51,0,0.85,IN,1676578555
274,te anau,-45.4167,167.7167,10.8,89,100,0.39,NZ,1676578413
275,maumere,-8.6199,122.2111,26.18,85,100,2.68,ID,1676578322
