City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,jumla,29.2747,82.1838,6.44,40,34,1.95,NP,1676396025
159,tuktoyaktuk,69.4541,-133.0374,-29.0,76,100,3.6,CA,1676396025
160,eureka,40.8021,-124.1637,5.88,95,99,1.34,US,1676396025
161,rio branco,-9.9747,-67.81,31.34,66,75,3.09,BR,1676395734
162,hamilton,39.1834,-84.5333,14.93,46,0,5.14,US,1676395918
163,lafiagi,8.8667,5.4167,32.97,11,10,1.78,NG,1676396025
164,vaitape,-16.5167,-151.75,27.28,65,32,5.2,PF,1676396026
165,butaritari,3.0707,172.7902,27.21,72,77,6.5,KI,1676396026
166,benghazi,32.1167,20.0667,13.78,67,58,6.65,LY,1676395819
167,bambous virieux,-20.3428,57.7575,26.23,78,40,3.6,MU,1676396026
168,tasiilaq,65.6145,-37.6368,-0.91,97,100,3.5,GL,1676396026
169,palestine,31.9216,35.2033,8.68,71,51,1.8,PS,1676396026
170,concepcion del oro,24.6333,-101.4167,17.72,17,0,5.02,MX,1676396026
171,bilma,18.6853,12.9164,19.31,16,79,7.23,NE,1676396026
172,dubbo,-32.25,148.6167,18.07,72,0,4.63,AU,1676396026
173,marsa matruh,31.3525,27.2453,12.11,71,40,4.12,EG,1676396027
174,minchinabad,30.163,73.5685,17.19,20,12,0.1,PK,1676396027
175,san patricio,28.017,-97.5169,26.92,22,92,5.98,US,1676396027
176,itamaraca,-7.7478,-34.8256,29.03,63,100,3.98,BR,1676396027
177,avarua,-21.2078,-159.775,27.03,83,40,2.57,CK,1676396027
178,oistins,13.0667,-59.5333,28.05,69,40,9.26,BB,1676396027
179,alihe,50.5667,123.7167,-24.34,97,12,1.35,CN,1676396027
180,abu dhabi,24.4667,54.3667,24.06,53,0,2.06,AE,1676395851
181,la ciotat,43.1748,5.6045,11.98,79,0,1.34,FR,1676395809
182,puerto colombia,10.9878,-74.9547,29.05,76,6,10.42,CO,1676396028
183,muzhi,65.3667,64.6667,-19.63,100,99,2.02,RU,1676396028
184,saint george,37.1041,-113.5841,7.92,61,100,0.89,US,1676396028
185,shimoda,34.6667,138.95,1.72,71,89,3.09,JP,1676396028
186,nome,64.5011,-165.4064,-27.96,76,0,0.0,US,1676396028
187,touros,-5.1989,-35.4608,29.45,67,100,6.55,BR,1676396028
188,hay river,60.8156,-115.7999,-21.01,77,75,2.57,CA,1676396028
189,verkhnyaya tura,58.3594,59.8175,-8.41,99,100,1.07,RU,1676396028
190,lebu,-37.6167,-73.65,17.99,63,37,5.66,CL,1676396028
191,cabo san lucas,22.8909,-109.9124,22.51,45,0,1.03,MX,1676396029
192,nuuk,64.1835,-51.7216,-14.66,66,75,6.17,GL,1676396029
193,thompson,55.7435,-97.8558,-21.91,71,75,6.69,CA,1676396029
194,ouadda,8.0777,22.4007,27.11,21,7,1.8,CF,1676396029
195,furstenwalde,52.3667,14.0667,6.32,85,60,2.0,DE,1676396020
196,hofn,64.2539,-15.2082,5.15,82,98,8.39,IS,1676396029
197,pleshanovo,52.8333,53.4833,-8.96,92,99,5.83,RU,1676396029
198,ponta do sol,32.6667,-17.1,17.29,50,60,5.95,PT,1676396029
199,stephenville,32.2207,-98.2023,17.09,37,0,11.83,US,1676396030
200,prince rupert,54.3161,-130.3201,0.83,93,40,4.63,CA,1676396030
201,blairmore,49.6,-114.4353,-5.9,63,99,2.57,CA,1676396030
202,jalu,29.0331,21.5482,14.15,41,26,5.09,LY,1676396030
203,susangerd,31.5608,48.1831,12.04,78,100,4.52,IR,1676396030
204,rexburg,43.826,-111.7897,-5.0,73,100,0.0,US,1676396030
205,north bend,43.4065,-124.2243,4.95,92,75,9.26,US,1676396030
206,muros,42.7762,-9.0603,16.75,74,46,2.5,ES,1676396030
207,saldanha,-33.0117,17.9442,23.03,85,9,10.71,ZA,1676396031
208,corinto,37.9407,22.9573,5.5,56,0,0.88,GR,1676396031
209,sabha,27.0377,14.4283,13.52,34,63,4.3,LY,1676396031
210,dois corregos,-22.3661,-48.3803,28.13,63,46,3.98,BR,1676396031
211,lavrentiya,65.5833,-171.0,-28.86,92,82,3.09,RU,1676396031
212,naze,28.3667,129.4833,11.51,75,100,4.19,JP,1676396031
213,sitka,57.0531,-135.33,0.94,69,75,3.6,US,1676396031
214,gwembe,-16.4975,27.6069,19.03,91,82,1.0,ZM,1676396031
215,cap malheureux,-19.9842,57.6142,26.37,70,21,1.79,MU,1676396031
